"sub_id","AgeGroup","ToD_Condition","collected_by","block","absavg_recall","minavg_recall","outlier_Recall_Age"
"Sub063_ToD","YA","Night","Julia","Overall",53.8095238095238,7.71428571428571,FALSE
"Sub063_ToD","YA","Night","Julia","1",38,12.6666666666667,FALSE
"Sub063_ToD","YA","Night","Julia","2",55.3333333333333,39.7777777777778,FALSE
"Sub063_ToD","YA","Night","Julia","3",67.3333333333333,-45.3333333333333,FALSE
"Sub064_ToD","OA","Night","Julia","Overall",27.8,8.02222222222222,FALSE
"Sub064_ToD","OA","Night","Julia","1",22.9166666666667,-2.91666666666667,FALSE
"Sub064_ToD","OA","Night","Julia","2",16.0588235294118,2.64705882352941,FALSE
"Sub064_ToD","OA","Night","Julia","3",43.9375,21.9375,FALSE
"Sub065_ToD","YA","Morning","Julia","Overall",74.5909090909091,-8.40909090909091,FALSE
"Sub065_ToD","YA","Morning","Julia","1",71,-18.7333333333333,FALSE
"Sub065_ToD","YA","Morning","Julia","2",76.5625,14.0625,FALSE
"Sub065_ToD","YA","Morning","Julia","3",76.3076923076923,-24.1538461538462,FALSE
"Sub066_ToD","YA","Night","Julia","Overall",96.9428571428571,-6.37142857142857,FALSE
"Sub066_ToD","YA","Night","Julia","1",92.7857142857143,-15.2142857142857,FALSE
"Sub066_ToD","YA","Night","Julia","2",98.9090909090909,17.8181818181818,FALSE
"Sub066_ToD","YA","Night","Julia","3",100.6,-20.6,FALSE
"Sub067_ToD","OA","Night","Julia","Overall",20.1538461538462,8.76923076923077,FALSE
"Sub067_ToD","OA","Night","Julia","1",34.2666666666667,13.7333333333333,FALSE
"Sub067_ToD","OA","Night","Julia","2",18.7777777777778,9.66666666666667,FALSE
"Sub067_ToD","OA","Night","Julia","3",10.3157894736842,4,FALSE
"Sub068_ToD","YA","Morning","Julia","Overall",13.9787234042553,-0.659574468085106,FALSE
"Sub068_ToD","YA","Morning","Julia","1",15.25,-3.5,FALSE
"Sub068_ToD","YA","Morning","Julia","2",17.2105263157895,2.89473684210526,FALSE
"Sub068_ToD","YA","Morning","Julia","3",7.16666666666667,-2.5,FALSE
"Sub069_ToD","OA","Night","Julia","Overall",47.8627450980392,6.56862745098039,FALSE
"Sub069_ToD","OA","Night","Julia","1",45.5,16.625,FALSE
"Sub069_ToD","OA","Night","Julia","2",64.6470588235294,3.82352941176471,FALSE
"Sub069_ToD","OA","Night","Julia","3",34.1111111111111,0.222222222222222,FALSE
"Sub070_ToD","YA","Morning","Julia","Overall",31.9074074074074,-12.7222222222222,FALSE
"Sub070_ToD","YA","Morning","Julia","1",32.8333333333333,-29.3888888888889,FALSE
"Sub070_ToD","YA","Morning","Julia","2",30.7368421052632,-10.7368421052632,FALSE
"Sub070_ToD","YA","Morning","Julia","3",32.2352941176471,2.70588235294118,FALSE
"Sub071_ToD","YA","Night","Julia","Overall",33.4909090909091,-6.07272727272727,FALSE
"Sub071_ToD","YA","Night","Julia","1",38.3684210526316,-11.5263157894737,FALSE
"Sub071_ToD","YA","Night","Julia","2",25.3333333333333,6.55555555555556,FALSE
"Sub071_ToD","YA","Night","Julia","3",36.5,-12.9444444444444,FALSE
"Sub072_ToD","OA","Morning","Julia","Overall",36.8076923076923,-1.73076923076923,FALSE
"Sub072_ToD","OA","Morning","Julia","1",46.6428571428571,22.0714285714286,FALSE
"Sub072_ToD","OA","Morning","Julia","2",42.85,-3.55,FALSE
"Sub072_ToD","OA","Morning","Julia","3",22.4444444444444,-18.2222222222222,FALSE
"Sub073_ToD","OA","Night","Julia","Overall",79.3333333333333,22.952380952381,FALSE
"Sub073_ToD","OA","Night","Julia","1",57.75,25.5,FALSE
"Sub073_ToD","OA","Night","Julia","2",133.5,-4.5,TRUE
"Sub073_ToD","OA","Night","Julia","3",85.1818181818182,26.0909090909091,FALSE
"Sub074_ToD","OA","Morning","Julia","Overall",45.6666666666667,-17.4166666666667,FALSE
"Sub074_ToD","OA","Morning","Julia","1",59.8571428571429,1,FALSE
"Sub074_ToD","OA","Morning","Julia","2",50.5555555555556,-25.6666666666667,FALSE
"Sub074_ToD","OA","Morning","Julia","3",27.75,-24.25,FALSE
"Sub075_ToD","OA","Night","Julia","Overall",27.7222222222222,-0.0555555555555556,FALSE
"Sub075_ToD","OA","Night","Julia","1",23.0588235294118,-2.82352941176471,FALSE
"Sub075_ToD","OA","Night","Julia","2",23.8888888888889,4.66666666666667,FALSE
"Sub075_ToD","OA","Night","Julia","3",35.5263157894737,-2.05263157894737,FALSE
"Sub076_ToD","YA","Night","Julia","Overall",56.9811320754717,-12.7924528301887,FALSE
"Sub076_ToD","YA","Night","Julia","1",38.75,-0.5,FALSE
"Sub076_ToD","YA","Night","Julia","2",69.8333333333333,-35.6111111111111,FALSE
"Sub076_ToD","YA","Night","Julia","3",60.1578947368421,-1.52631578947368,FALSE
"Sub077_ToD","OA","Morning","Julia","Overall",38.0545454545455,8.92727272727273,FALSE
"Sub077_ToD","OA","Morning","Julia","1",33.6315789473684,12.5789473684211,FALSE
"Sub077_ToD","OA","Morning","Julia","2",45.0588235294118,4.47058823529412,FALSE
"Sub077_ToD","OA","Morning","Julia","3",36.2105263157895,9.26315789473684,FALSE
"Sub078_ToD","YA","Night","Julia","Overall",51.6,-12.36,FALSE
"Sub078_ToD","YA","Night","Julia","1",32.5882352941176,-14.8235294117647,FALSE
"Sub078_ToD","YA","Night","Julia","2",65.2352941176471,-4.41176470588235,FALSE
"Sub078_ToD","YA","Night","Julia","3",57.3125,-18.1875,FALSE
"Sub079_ToD","OA","Morning","Julia","Overall",37.58,-4.14,FALSE
"Sub079_ToD","OA","Morning","Julia","1",38.8333333333333,9.83333333333333,FALSE
"Sub079_ToD","OA","Morning","Julia","2",27.9411764705882,-18.6470588235294,FALSE
"Sub079_ToD","OA","Morning","Julia","3",47,-4.46666666666667,FALSE
"Sub080_ToD","OA","Night","Julia","Overall",36.843137254902,-11,FALSE
"Sub080_ToD","OA","Night","Julia","1",38.4285714285714,-24.4285714285714,FALSE
